;代码	座标x	座标y	怪物名称		范围	数量	时间(m)	集中刷新坐标机率	名字颜色(0~255)
ygfx3	61	82	钳虫	100	15	2	0	255	
ygfx3	61	82	粪虫	100	15	2	0	255	
ygfx3	24	38	战狂统领→白银BOSS	200	2	30	0	249
																											
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBJ40	68	81	红野猪	100	20	3	0	255	
OBJ40	68	81	黑野猪	100	20	3	0	255	
OBJ40	68	81	蝎蛇	100	20	3	0	255	
OBJ40	68	81	猪卫	100	20	3	0	255	
OBJ40	68	81	野猪王	100	20	3	0	255	
OBJ40	68	81	红野猪	100	20	3	0	255	
OBJ40	68	81	黑野猪	100	20	3	0	255	
OBJ40	68	81	蝎蛇	100	20	3	0	255	
OBJ40	68	81	猪卫	100	20	3	0	255	
OBJ40	68	81	石墓教主→白银BOSS	200	1	30	0	249	
OBJ41	96	72	红野猪	30	15	3	0	255	
OBJ41	96	72	黑野猪	30	15	3	0	255	
OBJ41	96	72	蝎蛇	30	15	3	0	255	
OBJ41	96	72	猪卫	30	15	3	0	255	
OBJ41	96	72	红野猪	30	15	3	0	255	
OBJ41	96	72	黑野猪	30	15	3	0	255	
OBJ41	96	72	蝎蛇	30	15	3	0	255	
OBJ41	96	72	猪卫	30	15	3	0	255	
OBJ41	96	72	红野猪	30	15	3	0	255	
OBJ41	96	72	红野猪	30	15	3	0	255	
OBJ41	96	72	黑野猪	30	15	3	0	255	
OBJ41	96	72	蝎蛇	30	15	3	0	255	
OBJ41	96	72	猪卫	30	15	3	0	255	
OBJ41	96	72	石墓教主→白银BOSS	200	1	30	0	249	

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;										
OBJ38	48	80	火焰沃玛	100	20	5	0	255	
OBJ38	48	80	沃玛战士	100	20	5	0	255	
OBJ38	48	80	沃玛枪兵	100	20	5	0	255	
OBJ38	48	80	暗黑战士	100	20	5	0	255	
OBJ38	48	80	沃玛卫士	100	20	5	0	255	
	
OBJ39	48	60	火焰沃玛	30	10	5	0	255	
OBJ39	48	60	沃玛战士	30	10	5	0	255	
OBJ39	48	60	沃玛枪兵	30	10	5	0	255	
OBJ39	48	60	暗黑战士	30	10	5	0	255	
OBJ39	48	60	沃玛卫士	30	10	5	0	255	
OBJ38	48	80	火焰沃玛	100	20	5	0	255	
OBJ38	48	80	沃玛战士	100	20	5	0	255	
OBJ38	48	80	沃玛枪兵	100	20	5	0	255	
OBJ38	48	80	暗黑战士	100	20	5	0	255	
OBJ38	48	80	沃玛卫士	100	20	5	0	255	
OBJ38	48	80	蛮荒统领→黄金BOSS	300	2	60	0	249	
OBJ38	48	80	恶灵战将→白银BOSS	300	1	30	0	249
OBJ38	48	80	骷髅领主→白银BOSS	300	1	30	0	249	
	
OBJ39	48	60	火焰沃玛	30	10	5	0	255	
OBJ39	48	60	沃玛战士	30	10	5	0	255	
OBJ39	48	60	沃玛枪兵	30	10	5	0	255	
OBJ39	48	60	暗黑战士	30	10	5	0	255	
OBJ39	48	60	沃玛卫士	30	10	5	0	255
OBJ39	48	60	火焰沃玛	30	10	5	0	255	
OBJ39	48	60	沃玛战士	30	10	5	0	255	
OBJ39	48	60	沃玛枪兵	30	10	5	0	255	
OBJ39	48	60	暗黑战士	30	10	5	0	255	
OBJ39	48	60	沃玛卫士	30	10	5	0	255
OBJ39	48	60	蛮荒统领→黄金BOSS	300	2	30	0	249	
OBJ38	48	80	战狂统领→白银BOSS	300	1	30	0	249	
OBJ38	48	80	石墓教主→白银BOSS	300	1	30	0	249	
									
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
								
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255	
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255	
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	

zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255
zhumayi	76	83	祖玛雕像	100	15	5	0	255	
zhumayi	76	83	祖玛卫士	100	15	5	0	255	
zhumayi	76	83	祖玛弓箭手	100	15	5	0	255	
zhumayi	76	83	烈火魔龙→黄金BOSS	200	2	30	0	249
zhumayi	76	83	恶灵战将→白银BOSS	200	1	30	0	249
zhumayi	76	83	骷髅领主→白银BOSS	200	1	30	0	249
zhumaer	25	25	祖玛雕像	30	5	5	0	255	
zhumaer	25	25	祖玛卫士	30	5	5	0	255	
zhumaer	25	25	祖玛弓箭手	30	5	5	0	255	
zhumaer	25	25	祖玛首领	30	5	5	0	255	
zhumaer	25	25	祖玛统帅	30	10	5	0	255	
zhumaer	34	20	烈火魔龙→黄金BOSS	200	2	30	0	249
zhumaer	76	83	战狂统领→白银BOSS	200	1	30	0	249
zhumaer	76	83	石墓教主→白银BOSS	200	1	30	0	249

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
wyzz	84	75	牛魔侍卫	100	20	5	0	255	
wyzz	84	75	牛魔法师	100	20	5	0	255	
wyzz	84	75	牛魔力士	100	20	5	0	255	
wyzz	84	75	牛魔战将	100	20	5	0	255	
wyzz	84	75	牛魔祭祀	100	40	5	0	255	
wyzz	84	75	牛魔将军	100	40	5	0	255	
wyzz	84	75	牛魔侍卫	100	20	5	0	255	
wyzz	84	75	牛魔法师	100	20	5	0	255	
wyzz	84	75	牛魔力士	100	20	5	0	255	
wyzz	84	75	牛魔战将	100	20	5	0	255	
wyzz	84	75	牛魔祭祀	100	40	5	0	255	
wyzz	84	75	牛魔将军	100	40	5	0	255	
wyzz	84	75	上古统领→黄金BOSS	200	2	30	0	249
wyzz	84	75	恶灵战将→白银BOSS	200	1	30	0	249
wyzz	84	75	骷髅领主→白银BOSS	200	1	30	0	249	
							


;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
OBJ46	53	92	绿魔蜘蛛	100	15	5	0	255	
OBJ46	53	92	天狼蜘蛛	100	15	5	0	255	
OBJ46	53	92	花吻蜘蛛	100	15	5	0	255	
OBJ46	53	92	金刚	100	15	5	0	255	
OBJ46	53	92	力士	100	15	5	0	255	
OBJ46	53	92	绿魔蜘蛛	100	15	5	0	255	
OBJ46	53	92	天狼蜘蛛	100	15	5	0	255	
OBJ46	53	92	花吻蜘蛛	100	15	5	0	255	
OBJ46	53	92	金刚	100	15	5	0	255	
OBJ46	53	92	力士	100	15	5	0	255	

OBJ47	28	34	绿魔蜘蛛	30	5	5	0	255	
OBJ47	28	34	天狼蜘蛛	30	5	5	0	255	
OBJ47	28	34	花吻蜘蛛	30	5	5	0	255	
OBJ47	28	34	金刚	30	5	5	0	255	
OBJ47	28	34	力士	30	5	5	0	255	
OBJ46	53	92	绿魔蜘蛛	100	15	5	0	255	
OBJ46	53	92	天狼蜘蛛	100	15	5	0	255	
OBJ46	53	92	花吻蜘蛛	100	15	5	0	255	
OBJ46	53	92	金刚	100	15	5	0	255	
OBJ46	53	92	力士	100	15	5	0	255	

OBJ47	28	34	绿魔蜘蛛	30	5	5	0	255	
OBJ47	28	34	天狼蜘蛛	30	5	5	0	255	
OBJ47	28	34	花吻蜘蛛	30	5	5	0	255	
OBJ47	28	34	金刚	30	5	5	0	255	
OBJ47	28	34	力士	30	5	5	0	255	
OBJ46	53	92	绿魔蜘蛛	100	15	5	0	255	
OBJ46	53	92	天狼蜘蛛	100	15	5	0	255	
OBJ46	53	92	花吻蜘蛛	100	15	5	0	255	
OBJ46	53	92	金刚	100	15	5	0	255	
OBJ46	53	92	力士	100	15	5	0	255	
OBJ46	32	30	恶灵战将→白银BOSS	200	2	30	0	249
OBJ46	32	30	骷髅领主→白银BOSS	200	2	30	0	249
OBJ46	32	30	炼狱之主→黄金BOSS	200	2	30	0	249
OBJ47	28	34	绿魔蜘蛛	30	5	5	0	255	
OBJ47	28	34	天狼蜘蛛	30	5	5	0	255	
OBJ47	28	34	花吻蜘蛛	30	5	5	0	255	
OBJ47	28	34	金刚	30	5	5	0	255	
OBJ47	28	34	力士	30	5	5	0	255	
OBJ46	53	92	绿魔蜘蛛	100	15	5	0	255	
OBJ46	53	92	天狼蜘蛛	100	15	5	0	255	
OBJ46	53	92	花吻蜘蛛	100	15	5	0	255	
OBJ46	53	92	金刚	100	15	5	0	255	
OBJ46	53	92	力士	100	15	5	0	255	

OBJ47	28	34	绿魔蜘蛛	30	5	15	0	255	
OBJ47	28	34	天狼蜘蛛	30	5	15	0	255	
OBJ47	28	34	花吻蜘蛛	30	5	15	0	255	
OBJ47	28	34	金刚	30	5	15	0	255	
OBJ47	28	34	力士	30	5	15	0	255	
OBJ47	32	30	战狂统领→白银BOSS	200	2	30	0	249
OBJ47	32	30	石墓教主→白银BOSS	200	2	30	0	249
OBJ47	32	30	炼狱之主→黄金BOSS	200	2	30	0	249

									
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
bsr01	106	111	魔龙破甲兵	100	15	5	0	255	
bsr01	106	111	魔龙刀兵	100	15	5	0	255	
bsr01	106	111	魔龙力士	100	15	5	0	255	
bsr01	106	111	魔龙弓箭手	100	15	5	0	255	
bsr01	106	111	魔龙巨蛾	100	15	5	0	255	
bsr01	106	111	魔龙战将	100	30	5	0	255	
bsr01	106	111	魔龙破甲兵	100	15	5	0	255	
bsr01	106	111	魔龙刀兵	100	15	5	0	255	
bsr01	106	111	魔龙力士	100	15	5	0	255	
bsr01	106	111	魔龙弓箭手	100	15	5	0	255	
bsr01	106	111	魔龙巨蛾	100	15	5	0	255	
bsr01	106	111	魔龙战将	100	15	5	0	255
bsr01	106	111	魔龙刀兵	100	15	5	0	255	
bsr01	106	111	魔龙力士	100	15	5	0	255	
bsr01	106	111	魔龙弓箭手	100	15	5	0	255	
bsr01	106	111	魔龙战将	100	15	5	0	255	
bsr01	106	111	魔龙破甲兵	100	15	5	0	255	
bsr01	106	111	魔龙刀兵	100	15	5	0	255	
bsr01	106	111	魔龙力士	100	15	5	0	255	
bsr01	106	111	魔龙弓箭手	100	15	5	0	255	
bsr01	106	111	魔龙巨蛾	100	15	5	0	255	
bsr01	106	111	魔龙战将	100	15	5	0	255
bsr01	106	111	吞噬魔王→铂金BOSS	200	2	60	0	249
bsr01	106	111	蛮荒统领→黄金BOSS	200	1	30	0	249
bsr01	106	111	烈火魔龙→黄金BOSS	200	1	30	0	249
bsr01	106	111	恶灵战将→白银BOSS	200	1	30	0	249
bsr01	106	111	骷髅领主→白银BOSS	200	1	30	0	249

bsr02	70	89	魔龙破甲兵	30	15	5	0	255	
bsr02	70	89	魔龙刀兵	30	15	5	0	255	
bsr02	70	89	魔龙力士	30	15	5	0	255	
bsr02	70	89	魔龙弓箭手	30	15	5	0	255	
bsr02	70	89	魔龙巨蛾	30	15	5	0	255	
bsr02	70	89	魔龙战将	30	30	5	0	255										
bsr02	70	89	魔龙破甲兵	30	15	5	0	255	
bsr02	70	89	魔龙刀兵	30	15	5	0	255	
bsr02	70	89	魔龙力士	30	15	5	0	255	
bsr02	70	89	魔龙弓箭手	30	15	5	0	255	
bsr02	70	89	魔龙巨蛾	30	15	5	0	255	
bsr02	70	89	魔龙战将	30	30	5	0	255	
bsr02	70	89	魔龙破甲兵	30	15	5	0	255	
bsr02	70	89	魔龙刀兵	30	15	5	0	255	
bsr02	70	89	魔龙力士	30	15	5	0	255	
bsr02	70	89	魔龙弓箭手	30	15	5	0	255	
bsr02	70	89	魔龙巨蛾	30	15	5	0	255	
bsr02	70	89	魔龙战将	30	30	5	0	255										
bsr02	70	89	魔龙破甲兵	30	15	5	0	255	
bsr02	70	89	魔龙刀兵	30	15	5	0	255	
bsr02	70	89	魔龙力士	30	15	5	0	255	
bsr02	70	89	魔龙弓箭手	30	15	5	0	255	
bsr02	70	89	魔龙巨蛾	30	15	5	0	255	
bsr02	70	89	魔龙战将	30	30	5	0	255	
bsr02	70	89	吞噬魔王→铂金BOSS	200	2	60	0	249
bsr02	70	89	上古统领→黄金BOSS	200	1	30	0	249
bsr02	70	89	炼狱之主→黄金BOSS	200	1	30	0	249
bsr02	70	89	石墓教主→白银BOSS	200	1	30	0	249
bsr02	70	89	战狂统领→白银BOSS	200	1	30	0	249

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
OBJHL	92	107	龙渊破甲兵	100	15	5	0	255	
OBJHL	92	107	龙渊刀兵	100	15	5	0	255	
OBJHL	92	107	龙渊弓箭手	100	15	5	0	255	
OBJHL	92	107	龙渊力士	100	15	5	0	255	
OBJHL	92	107	龙渊巨蛾	100	15	5	0	255	
OBJHL	92	107	阴阳魔王→铂金BOSS	200	2	60	0	249
OBJHL	70	89	上古统领→黄金BOSS	200	1	60	0	249
OBJHL	70	89	炼狱之主→黄金BOSS	200	1	60	0	249
OBJHL	70	89	石墓教主→白银BOSS	200	1	15	0	249
OBJHL	70	89	战狂统领→白银BOSS	200	1	15	0	249	
									
OBJ53	34	45	龙渊破甲兵	30	7	5	0	255	
OBJ53	34	45	龙渊刀兵	30	7	5	0	255	
OBJ53	34	45	龙渊弓箭手	30	7	5	0	255	
OBJ53	34	45	龙渊力士	30	7	5	0	255	
OBJ53	34	45	龙渊巨蛾	30	7	5	0	255	
OBJ53	55	24	 阴阳魔王→铂金BOSS	200	2	60	0	249	
OBJ53	55	24	蛮荒统领→黄金BOSS	200	1	30	0	249
OBJ53	55	24	烈火魔龙→黄金BOSS	200	1	30	0	249
OBJ53	55	24	恶灵战将→白银BOSS	200	1	15	0	249
OBJ53	55	24	骷髅领主→白银BOSS	200	1	15	0	249
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
XC1	88	71	雷炎苦力	100	20	5	0	255	
XC1	88	71	雷炎傀儡	100	20	5	0	255	
XC1	88	71	雷炎兽	100	20	15	0	255	
XC1	88	71	雷炎矿工	100	20	5	0	255	
XC1	88	71	雷炎守卫	100	20	5	0	255	
XC1	88	71	雷炎锤兵	100	20	5	0	255	
XC1	88	71	雷炎苦力	100	20	5	0	255	
XC1	88	71	雷炎傀儡	100	20	5	0	255	
XC1	88	71	雷炎兽	100	20	5	0	255	
XC1	88	71	雷炎矿工	100	20	5	0	255	
XC1	88	71	雷炎守卫	100	20	5	0	255	
XC1	88	71	雷炎锤兵	100	20	5	0	255	

XC1	88	71	雷炎苦力	100	20	5	0	255	
XC1	88	71	雷炎傀儡	100	20	5	0	255	
XC1	88	71	雷炎兽	100	20	5	0	255	
XC1	88	71	雷炎矿工	100	20	5	0	255	
XC1	88	71	雷炎守卫	100	20	5	0	255	
XC1	88	71	烈火魔龙→荣耀BOSS	200	1	90	0	249
XC1	55	24	 阴阳魔王→铂金BOSS	200	1	60	0	249	
XC1	70	89	上古统领→黄金BOSS	200	1	30	0	249
XC1	70	89	炼狱之主→黄金BOSS	200	1	30	0	249
XC1	70	89	石墓教主→白银BOSS	200	1	15	0	249
XC1	70	89	战狂统领→白银BOSS	200	1	15	0	249	
									
XCLJTD	36	37	雷炎苦力	50	7	5	0	255	
XCLJTD	36	37	雷炎傀儡	50	7	5	0	255	
XCLJTD	36	37	雷炎兽	50	7	5	0	255	
XCLJTD	36	37	雷炎矿工	50	7	5	0	255	
XCLJTD	36	37	雷炎守卫	50	7	5	0	255	
XCLJTD	36	37	雷炎锤兵	50	7	5	0	255									
XCLJTD	36	37	雷炎苦力	50	7	5	0	255	
XCLJTD	36	37	雷炎傀儡	50	7	5	0	255	
XCLJTD	36	37	雷炎兽	50	7	5	0	255	
XCLJTD	36	37	雷炎矿工	50	7	5	0	255	
XCLJTD	36	37	雷炎守卫	50	7	5	0	255	
XCLJTD	36	37	雷炎锤兵	50	7	5	0	255
									
XCLJTD	36	37	雷炎苦力	50	7	5	0	255	
XCLJTD	36	37	雷炎傀儡	50	7	5	0	255	
XCLJTD	36	37	雷炎兽	50	7	5	0	255	
XCLJTD	36	37	雷炎矿工	50	7	5	0	255	
XCLJTD	36	37	雷炎守卫	50	7	5	0	255	
XCLJTD	36	37	雷炎锤兵	50	7	5	0	255	
XCLJTD	36	37	烈火魔龙→荣耀BOSS	200	1	90	0	249
XCLJTD	55	24	阴阳魔王→铂金BOSS	200	1	60	0	249
XCLJTD	55	24	蛮荒统领→黄金BOSS	200	1	30	0	249
XCLJTD	55	24	烈火魔龙→黄金BOSS	200	1	30	0	249
XCLJTD	55	24	恶灵战将→白银BOSS	200	1	15	0	249
XCLJTD	55	24	骷髅领主→白银BOSS	200	1	15	0	249
									
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
YGSD3	403    88	北极熊		300	80	10	0	255	
YGSD3	159    175	雪域将领	300	80	10	0	255	
YGSD3	334    327	雪域魅妖	300	80	10	0	255	
YGSD3	159    175	雪人王		300	80	10	0	255	
YGSD3	159    175	雪域小妖	300	80	10	0	255	
YGSD3	159    175	雪域将军	300	80	10	0	255	
YGSD3	159    175	北极熊		300	80	10	0	255	
YGSD3	159    175	雪域将领	300	80	10	0	255	
YGSD3	159    175	雪域魅妖	300	80	10	0	255	
YGSD3	63    300	雪人王		300	80	10	0	255	
YGSD3	159    175	雪域小妖	300	80	10	0	255	
YGSD3	403    88	北极熊		300	80	10	0	255	
YGSD3	159    175	雪域将领	300	80	10	0	255	
YGSD3	334    327	雪域魅妖	300	80	10	0	255	
YGSD3	159    175	雪人王		300	80	10	0	255	
YGSD3	159    175	雪域小妖	300	80	10	0	255	
YGSD3	159    175	雪域将军	300	80	10	0	255	
YGSD3	159    175	北极熊		300	80	10	0	255	
YGSD3	159    175	雪域将领	300	80	10	0	255	
YGSD3	159    175	雪域魅妖	300	80	10	0	255	
YGSD3	63    300	雪人王		300	80	10	0	255	
YGSD3	159    175	雪域小妖	300	80	10	0	255	
YGSD3	334    327	恶魔鬼魂→荣耀BOSS	200	1	90	0	249
YGSD3	159    175	阴阳魔王→铂金BOSS	200	1	60	0	249	
YGSD3	403    88	蛮荒统领→黄金BOSS	200	5	30	0	249
YGSD3	159    175	烈火魔龙→黄金BOSS	200	5	30	0	249
YGSD3	334    327	恶灵战将→白银BOSS	200	5	15	0	249
YGSD3	159    175	骷髅领主→白银BOSS	200	5	15	0	249
									
YGSD4	39	42	北极熊		300	20	10	0	255	
YGSD4	39	42	雪域将领	300	20	10	0	255	
YGSD4	39	42	雪域魅妖	300	20	10	0	255	
YGSD4	39	42	雪人王		300	20	10	0	255	
YGSD4	39	42	雪域小妖	300	20	10	0	255	
YGSD4	39	42	雪域将军	300	10	10	0	255
									
YGSD4	39	42	北极熊		300	20	10	0	255	
YGSD4	39	42	雪域将领	300	20	10	0	255	
